index,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month
10739,"Greater Mumbai, India",03-12-2014,Silver,Bills,F,95384,2014,December
10740,"Delhi, India",25-12-2013,Gold,Fuel,F,47652,2013,December
10741,"Greater Mumbai, India",25-03-2014,Silver,Bills,F,129659,2014,March
10742,"Ahmedabad, India",13-12-2013,Signature,Bills,F,14886,2013,December
10743,"Greater Mumbai, India",11-05-2015,Signature,Entertainment,F,172703,2015,May
10744,"Ahmedabad, India",19-12-2013,Gold,Entertainment,F,20973,2013,December
10745,"Delhi, India",10-09-2014,Platinum,Bills,M,187569,2014,September
10746,"Delhi, India",04-03-2015,Signature,Grocery,F,129007,2015,March
10747,"Ahmedabad, India",26-07-2014,Platinum,Entertainment,M,137192,2014,July
10748,"Delhi, India",21-06-2014,Silver,Entertainment,F,252185,2014,June
10749,"Delhi, India",13-04-2015,Signature,Food,M,273005,2015,April
10750,"Delhi, India",17-05-2015,Platinum,Fuel,M,2948,2015,May
10751,"Delhi, India",25-01-2015,Signature,Grocery,F,240854,2015,January
10752,"Ahmedabad, India",07-09-2014,Gold,Grocery,F,132128,2014,September
10753,"Ahmedabad, India",02-03-2014,Silver,Fuel,M,263893,2014,March
10754,"Ahmedabad, India",26-02-2014,Platinum,Entertainment,F,290623,2014,February
10755,"Delhi, India",01-08-2014,Gold,Bills,M,124630,2014,August
10756,"Bengaluru, India",03-03-2015,Silver,Food,F,101691,2015,March
10757,"Greater Mumbai, India",31-07-2014,Signature,Entertainment,M,225420,2014,July
10758,"Ahmedabad, India",06-05-2015,Silver,Entertainment,F,56347,2015,May
10759,"Bengaluru, India",16-01-2015,Platinum,Fuel,F,173211,2015,January
10760,"Ahmedabad, India",22-04-2014,Platinum,Entertainment,M,120125,2014,April
10761,"Ahmedabad, India",01-02-2015,Gold,Bills,M,98103,2015,February
10762,"Delhi, India",20-09-2014,Silver,Bills,M,126904,2014,September
10763,"Greater Mumbai, India",01-02-2014,Gold,Grocery,M,289969,2014,February
10764,"Greater Mumbai, India",13-02-2015,Platinum,Grocery,F,100992,2015,February
10765,"Greater Mumbai, India",10-01-2014,Signature,Food,F,106252,2014,January
10766,"Bengaluru, India",03-07-2014,Platinum,Fuel,M,193734,2014,July
10767,"Bengaluru, India",16-08-2014,Silver,Bills,F,227283,2014,August
10768,"Ahmedabad, India",09-11-2014,Gold,Fuel,M,25035,2014,November
10769,"Bengaluru, India",29-12-2013,Platinum,Entertainment,F,296589,2013,December
10770,"Bengaluru, India",30-03-2014,Silver,Bills,F,5077,2014,March
10771,"Bengaluru, India",04-06-2014,Platinum,Bills,M,190335,2014,June
10772,"Greater Mumbai, India",11-09-2014,Gold,Bills,M,216237,2014,September
10773,"Greater Mumbai, India",25-11-2013,Platinum,Entertainment,F,296742,2013,November
10774,"Delhi, India",25-05-2014,Gold,Fuel,F,258244,2014,May
10775,"Ahmedabad, India",06-03-2014,Platinum,Fuel,M,131090,2014,March
10776,"Delhi, India",05-08-2014,Silver,Food,F,226158,2014,August
10777,"Delhi, India",29-11-2013,Silver,Fuel,F,207993,2013,November
10778,"Ahmedabad, India",10-04-2015,Platinum,Food,F,190487,2015,April
10779,"Greater Mumbai, India",09-12-2014,Signature,Entertainment,M,190672,2014,December
10780,"Bengaluru, India",05-02-2015,Silver,Fuel,M,153878,2015,February
10781,"Ahmedabad, India",24-01-2015,Gold,Food,M,165963,2015,January
10782,"Ahmedabad, India",27-03-2015,Silver,Food,F,264577,2015,March
10783,"Greater Mumbai, India",16-02-2014,Platinum,Fuel,M,128793,2014,February
10784,"Delhi, India",27-04-2014,Gold,Bills,F,192900,2014,April
10785,"Delhi, India",11-04-2015,Silver,Food,F,189914,2015,April
10786,"Greater Mumbai, India",03-04-2014,Platinum,Bills,M,69842,2014,April
10787,"Ahmedabad, India",20-03-2015,Gold,Food,F,32790,2015,March
10788,"Delhi, India",05-11-2013,Silver,Food,M,104517,2013,November
10789,"Bengaluru, India",17-01-2014,Platinum,Food,M,276188,2014,January
10790,"Greater Mumbai, India",27-11-2014,Signature,Fuel,M,279599,2014,November
10791,"Greater Mumbai, India",20-07-2014,Gold,Fuel,M,138817,2014,July
10792,"Delhi, India",25-04-2015,Silver,Bills,M,184400,2015,April
10793,"Greater Mumbai, India",10-03-2014,Silver,Bills,F,48212,2014,March
10794,"Bengaluru, India",23-01-2014,Silver,Fuel,M,204438,2014,January
10795,"Greater Mumbai, India",10-08-2014,Signature,Fuel,M,262142,2014,August
10796,"Bengaluru, India",13-05-2014,Silver,Food,M,281654,2014,May
10797,"Greater Mumbai, India",08-11-2013,Platinum,Bills,F,30035,2013,November
10798,"Delhi, India",04-09-2014,Silver,Grocery,F,14374,2014,September
10799,"Bengaluru, India",13-02-2014,Signature,Grocery,F,52949,2014,February
10800,"Bengaluru, India",21-01-2014,Signature,Fuel,M,19917,2014,January
10801,"Delhi, India",20-05-2014,Silver,Bills,M,29036,2014,May
10802,"Delhi, India",17-06-2014,Signature,Entertainment,F,102197,2014,June
10803,"Bengaluru, India",09-04-2015,Platinum,Food,M,148861,2015,April
10804,"Delhi, India",22-10-2013,Platinum,Entertainment,F,268300,2013,October
10805,"Delhi, India",13-02-2015,Gold,Grocery,M,223303,2015,February
10806,"Bengaluru, India",30-10-2014,Gold,Food,M,299162,2014,October
10807,"Greater Mumbai, India",31-01-2015,Gold,Food,F,23783,2015,January
10808,"Greater Mumbai, India",25-06-2014,Gold,Grocery,M,4242,2014,June
10809,"Delhi, India",20-11-2014,Platinum,Fuel,F,291118,2014,November
10810,"Delhi, India",26-06-2014,Silver,Food,M,204273,2014,June
10811,"Ahmedabad, India",24-12-2013,Silver,Food,F,32448,2013,December
10812,"Ahmedabad, India",10-03-2015,Platinum,Entertainment,F,102638,2015,March
10813,"Ahmedabad, India",14-05-2014,Gold,Bills,M,225082,2014,May
10814,"Bengaluru, India",05-10-2014,Silver,Grocery,F,7700,2014,October
10815,"Bengaluru, India",04-05-2015,Silver,Bills,F,242353,2015,May
10816,"Bengaluru, India",06-11-2013,Signature,Food,M,113095,2013,November
10817,"Delhi, India",03-01-2015,Platinum,Fuel,F,26189,2015,January
10818,"Ahmedabad, India",01-03-2014,Gold,Fuel,F,27494,2014,March
10819,"Bengaluru, India",25-11-2013,Signature,Bills,F,55806,2013,November
10820,"Greater Mumbai, India",19-05-2014,Silver,Food,F,15860,2014,May
10821,"Ahmedabad, India",18-02-2015,Gold,Grocery,M,29925,2015,February
10822,"Bengaluru, India",23-05-2015,Signature,Fuel,F,169283,2015,May
10823,"Delhi, India",26-04-2015,Platinum,Fuel,M,190130,2015,April
10824,"Bengaluru, India",08-03-2014,Gold,Food,F,128446,2014,March
10825,"Ahmedabad, India",15-08-2014,Signature,Fuel,F,180903,2014,August
10826,"Greater Mumbai, India",03-02-2015,Gold,Fuel,M,213379,2015,February
10827,"Bengaluru, India",19-02-2015,Gold,Entertainment,F,78392,2015,February
10828,"Delhi, India",05-02-2014,Gold,Fuel,F,21940,2014,February
10829,"Delhi, India",11-04-2015,Silver,Fuel,F,224058,2015,April
10830,"Delhi, India",03-06-2014,Silver,Food,M,169077,2014,June
10831,"Greater Mumbai, India",27-05-2014,Gold,Grocery,F,106021,2014,May
10832,"Greater Mumbai, India",23-01-2015,Signature,Fuel,F,283260,2015,January
10833,"Greater Mumbai, India",18-05-2015,Silver,Grocery,M,14222,2015,May
10834,"Bengaluru, India",22-09-2014,Silver,Food,F,99215,2014,September
10835,"Greater Mumbai, India",29-10-2013,Gold,Entertainment,F,178375,2013,October
10836,"Ahmedabad, India",31-05-2014,Silver,Fuel,M,293827,2014,May
10837,"Greater Mumbai, India",05-01-2015,Silver,Fuel,F,202775,2015,January
10838,"Greater Mumbai, India",26-04-2015,Gold,Grocery,F,135734,2015,April
10839,"Delhi, India",25-11-2013,Signature,Fuel,F,93307,2013,November
10840,"Ahmedabad, India",17-05-2014,Gold,Food,F,76515,2014,May
10841,"Bengaluru, India",23-11-2014,Signature,Bills,M,265493,2014,November
10842,"Bengaluru, India",27-06-2014,Gold,Bills,M,2852,2014,June
10843,"Ahmedabad, India",16-04-2014,Platinum,Grocery,F,34195,2014,April
10844,"Ahmedabad, India",13-12-2014,Gold,Entertainment,F,73014,2014,December
10845,"Bengaluru, India",01-06-2014,Signature,Bills,F,264725,2014,June
10846,"Greater Mumbai, India",05-01-2015,Signature,Grocery,M,244839,2015,January
10847,"Ahmedabad, India",27-12-2013,Gold,Grocery,F,53266,2013,December
10848,"Delhi, India",24-01-2015,Silver,Entertainment,F,269474,2015,January
10849,"Delhi, India",10-03-2015,Platinum,Bills,M,110829,2015,March
10850,"Greater Mumbai, India",20-10-2014,Silver,Grocery,F,133809,2014,October
10851,"Greater Mumbai, India",01-09-2014,Signature,Fuel,M,12306,2014,September
10852,"Greater Mumbai, India",25-11-2013,Platinum,Entertainment,M,80450,2013,November
10853,"Ahmedabad, India",25-05-2014,Silver,Entertainment,F,182220,2014,May
10854,"Bengaluru, India",08-06-2014,Silver,Fuel,M,140648,2014,June
10855,"Bengaluru, India",27-12-2013,Gold,Fuel,F,220939,2013,December
10856,"Ahmedabad, India",02-11-2013,Platinum,Food,M,85678,2013,November
10857,"Delhi, India",04-11-2013,Platinum,Food,M,298059,2013,November
10858,"Bengaluru, India",13-03-2015,Silver,Entertainment,F,90609,2015,March
10859,"Delhi, India",03-12-2014,Gold,Grocery,M,216920,2014,December
10860,"Delhi, India",22-09-2014,Silver,Grocery,F,135471,2014,September
10861,"Ahmedabad, India",12-11-2013,Platinum,Entertainment,F,263028,2013,November
10862,"Ahmedabad, India",06-08-2014,Silver,Bills,F,48726,2014,August
10863,"Delhi, India",22-10-2013,Gold,Fuel,M,114384,2013,October
10864,"Ahmedabad, India",11-09-2014,Silver,Bills,M,241032,2014,September
10865,"Delhi, India",17-05-2015,Silver,Grocery,M,62831,2015,May
10866,"Delhi, India",19-06-2014,Gold,Fuel,F,78225,2014,June
10867,"Ahmedabad, India",16-12-2014,Platinum,Food,M,26272,2014,December
10868,"Greater Mumbai, India",20-12-2014,Platinum,Grocery,F,236574,2014,December
10869,"Bengaluru, India",06-01-2015,Gold,Food,F,52755,2015,January
10870,"Greater Mumbai, India",11-02-2014,Signature,Entertainment,F,228191,2014,February
10871,"Greater Mumbai, India",11-05-2015,Platinum,Grocery,M,276244,2015,May
10872,"Delhi, India",30-06-2014,Silver,Food,F,222180,2014,June
10873,"Delhi, India",30-10-2014,Silver,Grocery,M,23392,2014,October
10874,"Delhi, India",25-07-2014,Platinum,Entertainment,M,238698,2014,July
10875,"Ahmedabad, India",02-02-2014,Gold,Grocery,M,60348,2014,February
10876,"Ahmedabad, India",07-01-2015,Platinum,Bills,F,255979,2015,January
10877,"Greater Mumbai, India",05-03-2015,Gold,Grocery,F,166315,2015,March
10878,"Bengaluru, India",03-07-2014,Gold,Fuel,M,146473,2014,July
10879,"Ahmedabad, India",17-03-2015,Signature,Grocery,F,177640,2015,March
10880,"Bengaluru, India",02-06-2014,Platinum,Food,M,175856,2014,June
10881,"Delhi, India",19-06-2014,Gold,Grocery,M,254992,2014,June
10882,"Ahmedabad, India",03-01-2015,Gold,Food,F,108893,2015,January
10883,"Bengaluru, India",09-12-2013,Signature,Entertainment,F,113909,2013,December
10884,"Greater Mumbai, India",25-02-2015,Signature,Fuel,F,145297,2015,February
10885,"Ahmedabad, India",03-11-2014,Gold,Entertainment,M,290733,2014,November
10886,"Bengaluru, India",30-11-2014,Silver,Food,M,37191,2014,November
10887,"Bengaluru, India",17-02-2014,Silver,Fuel,F,141302,2014,February
10888,"Greater Mumbai, India",05-08-2014,Gold,Food,M,181826,2014,August
10889,"Delhi, India",21-04-2014,Gold,Entertainment,F,175399,2014,April
10890,"Bengaluru, India",25-04-2015,Platinum,Entertainment,M,178733,2015,April
10891,"Bengaluru, India",30-10-2014,Silver,Entertainment,F,272183,2014,October
10892,"Greater Mumbai, India",27-04-2014,Silver,Food,F,87761,2014,April
10893,"Greater Mumbai, India",23-03-2014,Silver,Food,F,242330,2014,March
10894,"Bengaluru, India",07-05-2014,Gold,Entertainment,M,160229,2014,May
10895,"Delhi, India",29-01-2014,Signature,Grocery,M,131098,2014,January
10896,"Ahmedabad, India",08-02-2015,Platinum,Food,M,244001,2015,February
10897,"Delhi, India",16-11-2013,Gold,Bills,F,71323,2013,November
10898,"Greater Mumbai, India",09-01-2014,Gold,Food,M,164379,2014,January
10899,"Delhi, India",27-03-2014,Signature,Grocery,F,141002,2014,March
10900,"Bengaluru, India",27-10-2013,Gold,Fuel,F,59639,2013,October
10901,"Bengaluru, India",01-02-2014,Silver,Grocery,F,32334,2014,February
10902,"Ahmedabad, India",04-08-2014,Gold,Food,F,122732,2014,August
10903,"Greater Mumbai, India",04-06-2014,Signature,Entertainment,F,254495,2014,June
10904,"Greater Mumbai, India",17-05-2014,Silver,Fuel,F,250289,2014,May
10905,"Delhi, India",28-01-2014,Signature,Bills,M,206408,2014,January
10906,"Bengaluru, India",14-04-2014,Signature,Food,M,58004,2014,April
10907,"Greater Mumbai, India",20-09-2014,Signature,Bills,M,194875,2014,September
10908,"Greater Mumbai, India",01-02-2015,Gold,Bills,F,175913,2015,February
10909,"Bengaluru, India",01-07-2014,Gold,Grocery,F,8078,2014,July
10910,"Ahmedabad, India",12-02-2014,Gold,Entertainment,F,157862,2014,February
10911,"Greater Mumbai, India",02-04-2015,Silver,Food,F,104621,2015,April
10912,"Greater Mumbai, India",11-01-2014,Silver,Grocery,M,104600,2014,January
10913,"Ahmedabad, India",28-12-2013,Gold,Entertainment,F,61139,2013,December
10914,"Ahmedabad, India",08-04-2015,Gold,Bills,F,237186,2015,April
10915,"Bengaluru, India",24-01-2014,Signature,Food,F,180296,2014,January
10916,"Ahmedabad, India",05-11-2013,Silver,Food,F,268989,2013,November
10917,"Greater Mumbai, India",29-03-2015,Gold,Food,M,122680,2015,March
10918,"Greater Mumbai, India",29-10-2014,Silver,Bills,F,285316,2014,October
10919,"Greater Mumbai, India",26-02-2014,Platinum,Bills,M,114366,2014,February
10920,"Greater Mumbai, India",30-03-2015,Signature,Entertainment,M,49233,2015,March
10921,"Bengaluru, India",07-10-2013,Silver,Grocery,M,184766,2013,October
10922,"Greater Mumbai, India",02-06-2014,Gold,Fuel,M,52872,2014,June
10923,"Ahmedabad, India",11-03-2014,Gold,Food,F,93977,2014,March
10924,"Greater Mumbai, India",27-12-2013,Platinum,Grocery,F,291442,2013,December
10925,"Ahmedabad, India",13-10-2013,Signature,Food,M,298591,2013,October
10926,"Ahmedabad, India",02-04-2014,Platinum,Entertainment,M,295628,2014,April
10927,"Ahmedabad, India",06-07-2014,Gold,Bills,M,128275,2014,July
10928,"Bengaluru, India",10-10-2014,Signature,Entertainment,M,284371,2014,October
10929,"Greater Mumbai, India",16-03-2015,Gold,Grocery,M,187169,2015,March
10930,"Bengaluru, India",27-11-2014,Gold,Fuel,M,8782,2014,November
10931,"Greater Mumbai, India",06-03-2014,Platinum,Entertainment,M,185121,2014,March
10932,"Ahmedabad, India",11-01-2014,Silver,Fuel,M,233134,2014,January
10933,"Greater Mumbai, India",07-12-2013,Platinum,Bills,F,45708,2013,December
10934,"Ahmedabad, India",16-10-2013,Gold,Grocery,M,207501,2013,October
10935,"Delhi, India",10-12-2014,Silver,Grocery,F,127848,2014,December
10936,"Bengaluru, India",31-05-2014,Platinum,Grocery,F,205266,2014,May
10937,"Delhi, India",12-04-2014,Silver,Grocery,F,59929,2014,April
10938,"Bengaluru, India",01-07-2014,Gold,Bills,M,225828,2014,July
10939,"Ahmedabad, India",24-03-2014,Platinum,Food,F,111019,2014,March
10940,"Ahmedabad, India",20-03-2015,Silver,Bills,M,134601,2015,March
10941,"Delhi, India",28-03-2014,Platinum,Bills,M,228229,2014,March
10942,"Ahmedabad, India",04-04-2014,Silver,Grocery,F,18165,2014,April
10943,"Ahmedabad, India",07-02-2014,Signature,Entertainment,F,274703,2014,February
10944,"Greater Mumbai, India",29-01-2014,Silver,Entertainment,M,109034,2014,January
10945,"Delhi, India",06-05-2015,Silver,Food,F,3792,2015,May
10946,"Bengaluru, India",10-01-2014,Signature,Fuel,F,160094,2014,January
10947,"Greater Mumbai, India",04-01-2014,Platinum,Entertainment,F,149088,2014,January
10948,"Ahmedabad, India",24-10-2014,Platinum,Bills,F,146321,2014,October
10949,"Greater Mumbai, India",09-10-2014,Gold,Fuel,M,66439,2014,October
10950,"Bengaluru, India",22-01-2015,Gold,Bills,F,88843,2015,January
10951,"Delhi, India",11-11-2013,Platinum,Grocery,M,199805,2013,November
10952,"Greater Mumbai, India",03-05-2014,Platinum,Entertainment,F,226774,2014,May
10953,"Delhi, India",08-12-2014,Signature,Grocery,M,225590,2014,December
10954,"Delhi, India",07-10-2014,Signature,Entertainment,F,176308,2014,October
10955,"Ahmedabad, India",15-12-2014,Silver,Food,F,130685,2014,December
10956,"Bengaluru, India",07-07-2014,Signature,Bills,M,182264,2014,July
10957,"Bengaluru, India",24-05-2014,Platinum,Bills,F,73189,2014,May
10958,"Ahmedabad, India",04-01-2014,Platinum,Entertainment,M,12593,2014,January
10959,"Ahmedabad, India",06-04-2014,Platinum,Food,M,39507,2014,April
10960,"Ahmedabad, India",22-02-2015,Signature,Entertainment,M,194407,2015,February
10961,"Ahmedabad, India",23-12-2013,Signature,Entertainment,M,53428,2013,December
10962,"Bengaluru, India",07-06-2014,Signature,Entertainment,F,56978,2014,June
10963,"Delhi, India",29-12-2013,Signature,Grocery,M,242519,2013,December
10964,"Delhi, India",24-02-2015,Signature,Fuel,M,80582,2015,February
10965,"Ahmedabad, India",06-03-2014,Silver,Food,M,281240,2014,March
10966,"Greater Mumbai, India",05-03-2014,Platinum,Entertainment,F,154724,2014,March
10967,"Delhi, India",14-10-2014,Platinum,Bills,M,84647,2014,October
10968,"Ahmedabad, India",20-01-2014,Signature,Food,F,40895,2014,January
10969,"Greater Mumbai, India",12-10-2014,Silver,Fuel,M,204457,2014,October
10970,"Bengaluru, India",12-01-2014,Platinum,Grocery,F,240690,2014,January
10971,"Ahmedabad, India",10-01-2015,Gold,Food,M,31313,2015,January
10972,"Ahmedabad, India",23-10-2013,Signature,Food,F,262063,2013,October
10973,"Greater Mumbai, India",15-06-2014,Platinum,Food,M,138568,2014,June
10974,"Bengaluru, India",24-06-2014,Platinum,Bills,F,119409,2014,June
10975,"Bengaluru, India",20-09-2014,Signature,Bills,M,187664,2014,September
10976,"Greater Mumbai, India",13-10-2014,Gold,Food,F,5526,2014,October
10977,"Ahmedabad, India",15-10-2013,Platinum,Food,F,176911,2013,October
10978,"Ahmedabad, India",19-12-2014,Signature,Food,F,266835,2014,December
10979,"Ahmedabad, India",17-12-2013,Silver,Food,M,247605,2013,December
10980,"Ahmedabad, India",25-05-2014,Gold,Food,F,154300,2014,May
10981,"Greater Mumbai, India",24-02-2015,Signature,Bills,M,187711,2015,February
10982,"Bengaluru, India",07-01-2015,Silver,Grocery,M,14194,2015,January
10983,"Bengaluru, India",18-01-2015,Signature,Entertainment,M,259303,2015,January
10984,"Delhi, India",11-07-2014,Signature,Entertainment,F,218932,2014,July
10985,"Greater Mumbai, India",06-11-2014,Signature,Entertainment,M,223996,2014,November
10986,"Greater Mumbai, India",07-08-2014,Platinum,Bills,M,283734,2014,August
10987,"Ahmedabad, India",25-10-2014,Gold,Entertainment,F,50164,2014,October
10988,"Ahmedabad, India",06-09-2014,Silver,Grocery,F,16989,2014,September
10989,"Ahmedabad, India",10-08-2014,Signature,Fuel,F,4700,2014,August
10990,"Greater Mumbai, India",25-10-2014,Signature,Entertainment,F,199224,2014,October
10991,"Delhi, India",16-12-2014,Silver,Food,M,197072,2014,December
10992,"Ahmedabad, India",15-04-2014,Signature,Entertainment,M,241510,2014,April
10993,"Bengaluru, India",28-03-2014,Silver,Entertainment,M,13787,2014,March
10994,"Delhi, India",03-06-2014,Gold,Grocery,M,55633,2014,June
10995,"Greater Mumbai, India",17-11-2013,Gold,Food,M,31560,2013,November
10996,"Delhi, India",27-03-2015,Silver,Grocery,F,227588,2015,March
10997,"Greater Mumbai, India",30-10-2014,Platinum,Food,F,104072,2014,October
10998,"Bengaluru, India",11-08-2014,Silver,Bills,F,154210,2014,August
10999,"Ahmedabad, India",15-01-2015,Platinum,Grocery,M,194502,2015,January
11000,"Delhi, India",29-04-2014,Signature,Fuel,M,57714,2014,April
11001,"Delhi, India",04-05-2014,Signature,Grocery,M,62412,2014,May
11002,"Bengaluru, India",28-01-2014,Platinum,Food,F,113973,2014,January
11003,"Delhi, India",24-12-2014,Gold,Grocery,F,257289,2014,December
11004,"Greater Mumbai, India",30-08-2014,Gold,Fuel,M,205260,2014,August
11005,"Delhi, India",18-03-2014,Signature,Fuel,M,246458,2014,March
11006,"Greater Mumbai, India",24-12-2014,Platinum,Entertainment,F,246955,2014,December
11007,"Delhi, India",05-08-2014,Signature,Grocery,M,62005,2014,August
11008,"Delhi, India",14-05-2015,Silver,Bills,M,238402,2015,May
11009,"Delhi, India",24-02-2015,Silver,Grocery,M,133735,2015,February
11010,"Ahmedabad, India",05-02-2014,Silver,Bills,M,151772,2014,February
11011,"Greater Mumbai, India",30-11-2013,Platinum,Grocery,M,218419,2013,November
11012,"Bengaluru, India",30-05-2014,Signature,Grocery,F,285136,2014,May
11013,"Ahmedabad, India",12-05-2014,Gold,Grocery,F,94856,2014,May
11014,"Greater Mumbai, India",19-12-2013,Gold,Food,F,228983,2013,December
11015,"Bengaluru, India",24-03-2014,Platinum,Grocery,M,93215,2014,March
11016,"Greater Mumbai, India",12-12-2014,Platinum,Bills,M,90105,2014,December
11017,"Ahmedabad, India",14-10-2013,Signature,Bills,M,236711,2013,October
11018,"Bengaluru, India",10-12-2013,Platinum,Food,F,106226,2013,December
11019,"Ahmedabad, India",26-04-2015,Gold,Entertainment,M,31363,2015,April
11020,"Bengaluru, India",09-02-2014,Signature,Bills,F,174566,2014,February
11021,"Delhi, India",19-12-2014,Gold,Entertainment,F,1061,2014,December
11022,"Ahmedabad, India",18-12-2013,Platinum,Food,F,115963,2013,December
11023,"Ahmedabad, India",17-02-2015,Silver,Food,M,80435,2015,February
11024,"Ahmedabad, India",23-02-2014,Silver,Entertainment,M,20431,2014,February
11025,"Ahmedabad, India",28-12-2013,Signature,Entertainment,M,28952,2013,December
11026,"Ahmedabad, India",02-01-2014,Silver,Entertainment,F,81245,2014,January
11027,"Greater Mumbai, India",15-10-2014,Silver,Bills,M,266267,2014,October
11028,"Delhi, India",19-05-2015,Platinum,Food,M,154538,2015,May
11029,"Ahmedabad, India",30-05-2014,Gold,Bills,F,34045,2014,May
11030,"Ahmedabad, India",01-05-2014,Gold,Grocery,F,7126,2014,May
11031,"Bengaluru, India",22-06-2014,Silver,Food,M,111508,2014,June
11032,"Ahmedabad, India",01-09-2014,Signature,Entertainment,M,104315,2014,September
11033,"Greater Mumbai, India",10-07-2014,Silver,Entertainment,M,51840,2014,July
11034,"Bengaluru, India",13-11-2013,Platinum,Entertainment,F,84335,2013,November
11035,"Greater Mumbai, India",30-04-2014,Signature,Grocery,M,287438,2014,April
11036,"Delhi, India",25-12-2014,Signature,Entertainment,M,169764,2014,December
11037,"Bengaluru, India",27-04-2015,Signature,Entertainment,F,172773,2015,April
11038,"Bengaluru, India",14-05-2014,Signature,Grocery,F,156117,2014,May
11039,"Ahmedabad, India",17-03-2015,Signature,Grocery,F,116997,2015,March
11040,"Delhi, India",14-01-2015,Gold,Grocery,F,216348,2015,January
11041,"Bengaluru, India",14-05-2014,Platinum,Food,F,151324,2014,May
11042,"Bengaluru, India",21-12-2013,Silver,Bills,M,273212,2013,December
11043,"Greater Mumbai, India",20-06-2014,Signature,Grocery,M,127322,2014,June
11044,"Bengaluru, India",01-10-2014,Signature,Entertainment,F,197210,2014,October
11045,"Greater Mumbai, India",05-10-2013,Signature,Fuel,M,130428,2013,October
11046,"Bengaluru, India",26-08-2014,Silver,Fuel,M,14582,2014,August
11047,"Delhi, India",03-02-2015,Signature,Entertainment,F,55039,2015,February
11048,"Delhi, India",17-03-2014,Silver,Grocery,M,27406,2014,March
11049,"Greater Mumbai, India",18-02-2015,Signature,Fuel,M,254117,2015,February
11050,"Ahmedabad, India",28-02-2014,Silver,Fuel,M,194888,2014,February
11051,"Delhi, India",18-05-2015,Signature,Bills,M,53081,2015,May
11052,"Greater Mumbai, India",18-12-2014,Platinum,Food,F,38553,2014,December
11053,"Bengaluru, India",30-03-2014,Platinum,Entertainment,M,199982,2014,March
11054,"Delhi, India",10-04-2015,Gold,Grocery,M,295923,2015,April
11055,"Delhi, India",03-04-2015,Gold,Fuel,F,6930,2015,April
11056,"Delhi, India",02-03-2014,Signature,Fuel,F,74061,2014,March
11057,"Delhi, India",05-05-2014,Signature,Fuel,F,277817,2014,May
11058,"Ahmedabad, India",15-12-2013,Platinum,Fuel,M,158727,2013,December
11059,"Ahmedabad, India",16-07-2014,Signature,Food,F,101712,2014,July
11060,"Ahmedabad, India",06-04-2014,Platinum,Bills,F,213600,2014,April
11061,"Ahmedabad, India",21-06-2014,Silver,Grocery,F,116416,2014,June
11062,"Bengaluru, India",01-01-2015,Platinum,Food,F,154010,2015,January
11063,"Ahmedabad, India",22-11-2014,Gold,Grocery,F,271824,2014,November
11064,"Greater Mumbai, India",17-07-2014,Signature,Food,F,63060,2014,July
11065,"Bengaluru, India",23-05-2014,Signature,Bills,M,110342,2014,May
11066,"Ahmedabad, India",07-01-2014,Signature,Fuel,M,171039,2014,January
11067,"Delhi, India",12-05-2015,Silver,Grocery,M,107439,2015,May
11068,"Delhi, India",20-10-2013,Gold,Grocery,F,276444,2013,October
11069,"Bengaluru, India",11-07-2014,Signature,Entertainment,F,67375,2014,July
11070,"Delhi, India",08-02-2014,Signature,Fuel,F,116160,2014,February
11071,"Delhi, India",01-08-2014,Silver,Entertainment,M,109690,2014,August
11072,"Greater Mumbai, India",20-11-2014,Gold,Food,F,81903,2014,November
11073,"Bengaluru, India",01-07-2014,Platinum,Grocery,F,28992,2014,July
11074,"Greater Mumbai, India",23-03-2014,Signature,Grocery,F,250205,2014,March
11075,"Ahmedabad, India",01-08-2014,Signature,Entertainment,M,168245,2014,August
11076,"Delhi, India",13-10-2013,Silver,Fuel,F,218227,2013,October
11077,"Ahmedabad, India",13-06-2014,Platinum,Food,M,57527,2014,June
11078,"Bengaluru, India",18-02-2015,Signature,Fuel,M,111298,2015,February
11079,"Ahmedabad, India",30-09-2014,Silver,Entertainment,M,176173,2014,September
11080,"Greater Mumbai, India",12-06-2014,Gold,Fuel,F,126120,2014,June
11081,"Delhi, India",10-05-2015,Silver,Entertainment,M,199035,2015,May
11082,"Bengaluru, India",14-10-2013,Silver,Grocery,F,74671,2013,October
11083,"Ahmedabad, India",11-07-2014,Silver,Grocery,F,62991,2014,July
11084,"Bengaluru, India",08-10-2013,Platinum,Food,M,100379,2013,October
11085,"Ahmedabad, India",30-07-2014,Gold,Grocery,F,296390,2014,July
11086,"Greater Mumbai, India",29-09-2014,Signature,Fuel,F,233244,2014,September
11087,"Greater Mumbai, India",11-10-2014,Signature,Food,F,226212,2014,October
11088,"Ahmedabad, India",06-02-2015,Signature,Bills,M,140701,2015,February
11089,"Greater Mumbai, India",25-05-2014,Platinum,Food,F,233001,2014,May
11090,"Bengaluru, India",24-06-2014,Signature,Food,F,141623,2014,June
11091,"Delhi, India",23-08-2014,Gold,Food,F,132456,2014,August
11092,"Greater Mumbai, India",22-02-2014,Platinum,Fuel,F,78806,2014,February
11093,"Ahmedabad, India",08-02-2014,Silver,Bills,M,277493,2014,February
11094,"Delhi, India",25-10-2013,Platinum,Grocery,M,227074,2013,October
11095,"Greater Mumbai, India",30-04-2014,Gold,Grocery,F,167531,2014,April
